year,max_emotion,emotion_count
2017,happiness,212
2017,love,136
2017,stressed,54
2017,doubtful,36
2017,comprehensive,20
2017,anger,14
2017,expectant,10
2017,sadness,10
2017,excitement,4
2017,neutral,2
2017,nostalgia,2
2017,assertivity,2
2018,happiness,240
2018,love,118
2018,stressed,92
2018,doubtful,82
2018,comprehensive,74
2018,anger,44
2018,expectant,24
2018,excitement,22
2018,sadness,8
2018,surprise,4
2018,disappointment,4
2018,joy,4
2018,nostalgia,2
2018,insecure,2
2019,happiness,234
2019,stressed,162
2019,doubtful,108
2019,comprehensive,80
2019,love,68
2019,anger,18
2019,joy,16
2019,expectant,12
2019,excitement,6
2019,insecure,6
2019,disappointment,4
2019,sadness,2
2019,assertivity,2
2019,nostalgia,2
2020,happiness,340
2020,doubtful,110
2020,stressed,104
2020,love,74
2020,comprehensive,54
2020,anger,20
2020,expectant,8
2020,joy,6
2020,insecure,4
2020,excitement,4
2020,surprise,2
2020,disappointment,2
2020,assertivity,2
2020,sadness,2
2021,happiness,244
2021,stressed,152
2021,doubtful,92
2021,love,56
2021,comprehensive,42
2021,joy,8
2021,expectant,8
2021,anger,8
2021,sadness,4
2021,insecure,2
2021,excitement,2
2021,neutral,2
2021,disappointment,2
2022,happiness,302
2022,stressed,102
2022,comprehensive,96
2022,doubtful,84
2022,love,46
2022,joy,26
2022,anger,22
2022,excitement,12
2022,expectant,6
2022,sadness,2
2023,happiness,270
2023,stressed,102
2023,comprehensive,76
2023,doubtful,72
2023,love,48
2023,anger,40
2023,excitement,14
2023,expectant,12
2023,joy,8
2023,insecure,6
2023,assertivity,4
2023,picarona,4
2023,sadness,2
