month,avg_messages_per_day
2017-04,54.9231
2017-05,95.8710
2017-06,112.6667
2017-07,91.2258
2017-08,87.0345
2017-09,77.8621
2017-10,51.7419
2017-11,37.6296
2017-12,31.1333
2018-01,36.5333
2018-02,36.0000
2018-03,25.0968
2018-04,29.7857
2018-05,42.3333
2018-06,55.1034
2018-07,104.8387
2018-08,104.0000
2018-09,94.4000
2018-10,76.8387
2018-11,87.0667
2018-12,66.5806
2019-01,52.3226
2019-02,40.7143
2019-03,70.1379
2019-04,48.4667
2019-05,33.0345
2019-06,70.4138
2019-07,90.2581
2019-08,91.6129
2019-09,99.4000
2019-10,113.6129
2019-11,118.2667
2019-12,141.0968
2020-01,114.7097
2020-02,136.7586
2020-03,77.2258
2020-04,58.0000
2020-05,89.8710
2020-06,210.2667
2020-07,118.3226
2020-08,106.9677
2020-09,123.0667
2020-10,89.3548
2020-11,72.6000
2020-12,114.9032
2021-01,158.0000
2021-02,107.0714
2021-03,118.2581
2021-04,116.6000
2021-05,141.1613
2021-06,186.7333
2021-07,169.1613
2021-08,104.8387
2021-09,115.0000
2021-10,58.0000
2021-11,82.0000
2021-12,79.0323
2022-01,40.8387
2022-02,67.2857
2022-03,74.5806
2022-04,59.3333
2022-05,42.3871
2022-06,77.8667
2022-07,84.8387
2022-08,67.0667
2022-09,56.7333
2022-10,50.2222
2022-11,35.9333
2022-12,29.9310
2023-01,55.2667
2023-02,47.0714
2023-03,49.2258
2023-04,67.1333
2023-05,60.8387
2023-06,77.6667
2023-07,85.8710
2023-08,64.0000
2023-09,43.6667
2023-10,60.5806
2023-11,44.8462
